date_debut,pays,nouveaux_cas,nouveaux_deces
2022-05-01 00:00:00,Africa,2.0,0.0
2022-05-15 00:00:00,Africa,4.0,0.0
2022-05-22 00:00:00,Africa,12.0,0.0
2022-06-02 00:00:00,Africa,1.0,0.0
2022-06-05 00:00:00,Africa,18.0,1.0
2022-06-12 00:00:00,Africa,15.0,0.0
2022-06-19 00:00:00,Africa,99.0,0.0
2022-06-26 00:00:00,Africa,26.0,0.0
2022-07-03 00:00:00,Africa,30.0,1.0
2022-07-10 00:00:00,Africa,22.0,0.0
2022-07-17 00:00:00,Africa,22.0,0.0
2022-07-24 00:00:00,Africa,17.0,0.0
2022-07-31 00:00:00,Africa,41.0,1.0
2022-08-01 00:00:00,Africa,1.0,0.0
2022-08-07 00:00:00,Africa,20.0,3.0
2022-08-10 00:00:00,Africa,1.0,0.0
2022-08-14 00:00:00,Africa,112.0,0.0
2022-08-21 00:00:00,Africa,33.0,5.0
2022-08-28 00:00:00,Africa,69.0,0.0
2022-08-29 00:00:00,Africa,2.0,0.0
2022-09-04 00:00:00,Africa,44.0,1.0
2022-09-06 00:00:00,Africa,2.0,0.0
2022-09-11 00:00:00,Africa,39.0,0.0
2022-09-15 00:00:00,Africa,2.0,1.0
2022-09-18 00:00:00,Africa,70.0,0.0
2022-09-21 00:00:00,Africa,1.0,0.0
2022-09-25 00:00:00,Africa,73.0,0.0
2022-09-27 00:00:00,Africa,1.0,0.0
2022-10-01 00:00:00,Africa,10.0,0.0
2022-10-02 00:00:00,Africa,31.0,0.0
2022-10-09 00:00:00,Africa,76.0,0.0
2022-10-16 00:00:00,Africa,35.0,0.0
2022-10-19 00:00:00,Africa,1.0,0.0
2022-10-23 00:00:00,Africa,46.0,1.0
2022-10-30 00:00:00,Africa,28.0,0.0
2022-11-06 00:00:00,Africa,21.0,0.0
2022-11-13 00:00:00,Africa,22.0,0.0
2022-11-20 00:00:00,Africa,25.0,0.0
2022-11-27 00:00:00,Africa,35.0,0.0
2022-12-04 00:00:00,Africa,43.0,0.0
